fecha;coeficiente_anses
2014-09;0.1721
2015-03;0.1826
2015-09;0.1449
2016-03;0.1535
2016-09;0.1416
2017-03;0.1296
2017-09;0.1332
2018-03;0.0571
2018-06;0.056900000000000006
2018-09;0.0667
2018-12;0.07780000000000001
2019-03;0.1183
2019-06;0.1074
2019-09;0.1222
2019-12;0.0874
2020-03;2,3%+1500
2020-06;0.061200000000000004
2020-09;0.075
2020-12;0.05
2021-03;0.0807
2021-06;0.12119999999999999
2021-09;0.12390000000000001
2021-12;0.1211
2022-03;0.12279999999999999
2022-06;0.15
2022-09;0.1553
2022-12;0.1562
2023-03;0.1704
2023-06;0.20920000000000002
2023-09;0.2329
2023-12;0.2087
2024-03;0.2718
2024-04;0.274
2024-05;0.1101
2024-06;0.0883
2024-07;0.0418
2024-08;0.0458
2024-09;0.04
2024-10;0.0417
2024-11;0.0347
2024-12;0.01027
2025-01;0.0243
2025-02;0.027
2025-03;0.022099999999999998
2025-04;0.024
2025-05;0.0373
2025-06;0.0278
